# y+ ()       
# Time        	patch         	min           	max           	average       
312           	trup	8.122942e+00	3.879912e+02	6.080379e+01
313           	trup	8.121796e+00	3.880096e+02	6.080250e+01
314           	trup	8.121842e+00	3.880280e+02	6.080137e+01
315           	trup	8.122974e+00	3.880465e+02	6.080038e+01
316           	trup	8.111350e+00	3.880652e+02	6.079955e+01
317           	trup	8.087898e+00	3.880839e+02	6.079886e+01
318           	trup	8.067549e+00	3.881029e+02	6.079832e+01
319           	trup	8.050171e+00	3.881222e+02	6.079792e+01
320           	trup	8.035559e+00	3.881417e+02	6.079766e+01
321           	trup	8.023552e+00	3.881617e+02	6.079755e+01
322           	trup	8.013986e+00	3.881822e+02	6.079757e+01
323           	trup	8.006702e+00	3.882032e+02	6.079772e+01
324           	trup	8.001559e+00	3.882247e+02	6.079801e+01
325           	trup	7.998436e+00	3.882468e+02	6.079842e+01
326           	trup	7.997203e+00	3.882696e+02	6.079895e+01
327           	trup	7.997677e+00	3.882929e+02	6.079961e+01
328           	trup	7.999706e+00	3.883168e+02	6.080038e+01
329           	trup	8.003147e+00	3.883411e+02	6.080128e+01
330           	trup	8.007901e+00	3.883661e+02	6.080228e+01
331           	trup	8.013886e+00	3.883915e+02	6.080340e+01
332           	trup	8.020979e+00	3.884175e+02	6.080463e+01
333           	trup	8.029095e+00	3.884440e+02	6.080596e+01
334           	trup	8.038059e+00	3.884710e+02	6.080740e+01
335           	trup	8.047742e+00	3.884984e+02	6.080894e+01
336           	trup	8.058009e+00	3.885263e+02	6.081058e+01
337           	trup	8.068735e+00	3.885548e+02	6.081231e+01
338           	trup	8.079810e+00	3.885837e+02	6.081414e+01
339           	trup	8.091164e+00	3.886131e+02	6.081605e+01
340           	trup	8.102734e+00	3.886429e+02	6.081805e+01
341           	trup	8.114468e+00	3.886732e+02	6.082014e+01
342           	trup	8.126316e+00	3.887038e+02	6.082231e+01
343           	trup	8.138224e+00	3.887346e+02	6.082455e+01
344           	trup	8.150153e+00	3.887656e+02	6.082688e+01
345           	trup	8.162053e+00	3.887967e+02	6.082927e+01
346           	trup	8.173871e+00	3.888278e+02	6.083173e+01
347           	trup	8.185535e+00	3.888589e+02	6.083426e+01
348           	trup	8.196982e+00	3.888899e+02	6.083685e+01
349           	trup	8.208177e+00	3.889209e+02	6.083950e+01
350           	trup	8.219082e+00	3.889519e+02	6.084222e+01
351           	trup	8.229671e+00	3.889826e+02	6.084499e+01
352           	trup	8.239922e+00	3.890133e+02	6.084782e+01
353           	trup	8.249813e+00	3.890439e+02	6.085071e+01
354           	trup	8.259350e+00	3.890744e+02	6.085364e+01
355           	trup	8.268535e+00	3.891049e+02	6.085662e+01
356           	trup	8.277376e+00	3.891352e+02	6.085965e+01
357           	trup	8.285881e+00	3.891653e+02	6.086271e+01
358           	trup	8.294057e+00	3.891952e+02	6.086582e+01
359           	trup	8.301933e+00	3.892247e+02	6.086896e+01
360           	trup	8.309529e+00	3.892538e+02	6.087214e+01
361           	trup	8.316865e+00	3.892827e+02	6.087535e+01
362           	trup	8.323955e+00	3.893112e+02	6.087860e+01
363           	trup	8.330813e+00	3.893394e+02	6.088188e+01
364           	trup	8.337476e+00	3.893673e+02	6.088520e+01
365           	trup	8.343977e+00	3.893950e+02	6.088854e+01
366           	trup	8.350348e+00	3.894223e+02	6.089191e+01
367           	trup	8.356618e+00	3.894495e+02	6.089530e+01
368           	trup	8.362808e+00	3.894764e+02	6.089872e+01
369           	trup	8.368933e+00	3.895033e+02	6.090216e+01
370           	trup	8.375032e+00	3.895301e+02	6.090561e+01
371           	trup	8.381131e+00	3.895570e+02	6.090909e+01
372           	trup	8.387268e+00	3.895840e+02	6.091259e+01
373           	trup	8.393470e+00	3.896111e+02	6.091610e+01
374           	trup	8.399759e+00	3.896381e+02	6.091963e+01
375           	trup	8.406149e+00	3.896652e+02	6.092316e+01
376           	trup	8.412683e+00	3.896923e+02	6.092671e+01
377           	trup	8.419398e+00	3.897195e+02	6.093026e+01
378           	trup	8.426321e+00	3.897468e+02	6.093381e+01
379           	trup	8.433478e+00	3.897744e+02	6.093737e+01
380           	trup	8.440892e+00	3.898022e+02	6.094094e+01
381           	trup	8.448580e+00	3.898303e+02	6.094451e+01
382           	trup	8.456550e+00	3.898589e+02	6.094807e+01
383           	trup	8.464813e+00	3.898879e+02	6.095165e+01
384           	trup	8.473407e+00	3.899174e+02	6.095522e+01
385           	trup	8.482360e+00	3.899475e+02	6.095880e+01
386           	trup	8.491699e+00	3.899781e+02	6.096237e+01
387           	trup	8.501443e+00	3.900092e+02	6.096593e+01
388           	trup	8.511604e+00	3.900409e+02	6.096949e+01
389           	trup	8.522192e+00	3.900731e+02	6.097304e+01
390           	trup	8.533207e+00	3.901058e+02	6.097658e+01
391           	trup	8.544654e+00	3.901390e+02	6.098011e+01
392           	trup	8.556562e+00	3.901728e+02	6.098364e+01
393           	trup	8.568955e+00	3.902071e+02	6.098715e+01
394           	trup	8.581861e+00	3.902420e+02	6.099066e+01
395           	trup	8.595295e+00	3.902774e+02	6.099415e+01
396           	trup	8.609269e+00	3.903133e+02	6.099764e+01
397           	trup	8.623792e+00	3.903498e+02	6.100110e+01
398           	trup	8.638870e+00	3.903868e+02	6.100455e+01
399           	trup	8.654501e+00	3.904244e+02	6.100798e+01
400           	trup	8.670686e+00	3.904625e+02	6.101140e+01
401           	trup	8.687454e+00	3.905012e+02	6.101480e+01
402           	trup	8.704814e+00	3.905404e+02	6.101817e+01
403           	trup	8.722779e+00	3.905800e+02	6.102152e+01
404           	trup	8.741360e+00	3.906200e+02	6.102485e+01
405           	trup	8.760559e+00	3.906604e+02	6.102816e+01
406           	trup	8.780373e+00	3.907010e+02	6.103144e+01
407           	trup	8.800790e+00	3.907419e+02	6.103469e+01
408           	trup	8.821793e+00	3.907829e+02	6.103793e+01
409           	trup	8.843363e+00	3.908241e+02	6.104113e+01
410           	trup	8.865521e+00	3.908653e+02	6.104431e+01
411           	trup	8.888275e+00	3.909067e+02	6.104746e+01
412           	trup	8.911634e+00	3.909482e+02	6.105058e+01
413           	trup	8.935604e+00	3.909898e+02	6.105368e+01
